time, prey, predator
178, 0.736087, 2.14682
178.5, 0.676438, 2.19237
179, 0.609259, 2.2247
179.5, 0.541657, 2.24226
180, 0.478912, 2.24514
180.5, 0.424132, 2.23473
181, 0.378602, 2.21312
181.5, 0.342392, 2.18267
182, 0.314935, 2.1457
182.5, 0.295443, 2.10434
183, 0.283162, 2.06043
183.5, 0.277513, 2.01557
184, 0.27814, 1.97112
184.5, 0.284933, 1.92832
185, 0.298014, 1.88826
185.5, 0.31771, 1.852
186, 0.3445, 1.82061
186.5, 0.378922, 1.79516
187, 0.421419, 1.77682
187.5, 0.4721, 1.76682
188, 0.530391, 1.76642
188.5, 0.59459, 1.77685
189, 0.661408, 1.79912
189.5, 0.725673, 1.83374
190, 0.780504, 1.88038
190.5, 0.818262, 1.9374
191, 0.832322, 2.00164
191.5, 0.819216, 2.06842
192, 0.780116, 2.13208
192.5, 0.720728, 2.18702
193, 0.649501, 2.22877
193.5, 0.57511, 2.25475
194, 0.504464, 2.26441
194.5, 0.441896, 2.25888
195, 0.389371, 2.24029
195.5, 0.347197, 2.21124
196, 0.314764, 2.17433
196.5, 0.291111, 2.13197
197, 0.27527, 2.08623
197.5, 0.266453, 2.0389
198, 0.26413, 1.99146
198.5, 0.26805, 1.94523
199, 0.278238, 1.90135
199.5, 0.294976, 1.86091
200, 0.318759, 1.82495
