time, m, h, n, V
2.32,0.0518502,0.592571,0.318478,0.177997
2.33,0.0518494,0.592582,0.318472,0.178034
2.34,0.0518487,0.592593,0.318465,0.178067
2.35,0.0518479,0.592605,0.318459,0.178096
2.36,0.0518472,0.592616,0.318453,0.178122
2.37,0.0518465,0.592628,0.318446,0.178144
2.38,0.0518459,0.592639,0.31844,0.178163
2.39,0.0518453,0.59265,0.318433,0.178179
2.4,0.0518446,0.592662,0.318427,0.178191
2.41,0.0518441,0.592673,0.318421,0.178199
2.42,0.0518435,0.592684,0.318414,0.178205
2.43,0.0518429,0.592696,0.318408,0.178207
2.44,0.0518424,0.592707,0.318402,0.178205
2.45,0.0518419,0.592718,0.318395,0.178201
2.46,0.0518415,0.59273,0.318389,0.178193
2.47,0.051841,0.592741,0.318383,0.178181
2.48,0.0518406,0.592752,0.318376,0.178166
2.49,0.0518402,0.592763,0.31837,0.178149
2.5,0.0518398,0.592775,0.318364,0.178127
2.51,0.0518394,0.592786,0.318358,0.178103
2.52,0.0518391,0.592797,0.318351,0.178075
2.53,0.0518388,0.592808,0.318345,0.178044
2.54,0.0518385,0.592819,0.318339,0.17801
2.55,0.0518382,0.592831,0.318333,0.177973
2.56,0.0518379,0.592842,0.318327,0.177932
2.57,0.0518377,0.592853,0.31832,0.177889
2.58,0.0518375,0.592864,0.318314,0.177842
2.59,0.0518373,0.592875,0.318308,0.177792
2.6,0.0518371,0.592886,0.318302,0.177739
2.61,0.051837,0.592897,0.318296,0.177682
2.62,0.0518368,0.592908,0.31829,0.177623
2.63,0.0518367,0.592919,0.318284,0.177561
2.64,0.0518366,0.59293,0.318278,0.177495
2.65,0.0518366,0.592941,0.318272,0.177427
2.66,0.0518365,0.592952,0.318266,0.177355
2.67,0.0518365,0.592963,0.31826,0.177281
2.68,0.0518365,0.592974,0.318253,0.177203
2.69,0.0518365,0.592985,0.318247,0.177123
2.7,0.0518366,0.592996,0.318241,0.177039
2.71,0.0518366,0.593007,0.318235,0.176953
2.72,0.0518367,0.593018,0.31823,0.176864
2.73,0.0518368,0.593029,0.318224,0.176771
2.74,0.0518369,0.59304,0.318218,0.176676
2.75,0.051837,0.59305,0.318212,0.176578
2.76,0.0518372,0.593061,0.318206,0.176477
2.77,0.0518374,0.593072,0.3182,0.176373
2.78,0.0518376,0.593083,0.318194,0.176266
2.79,0.0518378,0.593094,0.318188,0.176157
2.8,0.051838,0.593104,0.318182,0.176044
2.81,0.0518383,0.593115,0.318176,0.175929
2.82,0.0518386,0.593126,0.318171,0.175811
2.83,0.0518388,0.593137,0.318165,0.17569
2.84,0.0518392,0.593147,0.318159,0.175566
2.85,0.0518395,0.593158,0.318153,0.17544
2.86,0.0518398,0.593169,0.318147,0.175311
2.87,0.0518402,0.593179,0.318142,0.175179
2.88,0.0518406,0.59319,0.318136,0.175044
2.89,0.051841,0.5932,0.31813,0.174907
2.9,0.0518414,0.593211,0.318124,0.174767
2.91,0.0518419,0.593222,0.318119,0.174625
2.92,0.0518423,0.593232,0.318113,0.174479
2.93,0.0518428,0.593243,0.318107,0.174331
2.94,0.0518433,0.593253,0.318102,0.174181
2.95,0.0518438,0.593264,0.318096,0.174028
2.96,0.0518444,0.593274,0.31809,0.173872
2.97,0.0518449,0.593285,0.318085,0.173713
2.98,0.0518455,0.593295,0.318079,0.173552
2.99,0.0518461,0.593305,0.318073,0.173389
3,0.0518467,0.593316,0.318068,0.173223
3.01,0.0518473,0.593326,0.318062,0.173054
3.02,0.0518479,0.593337,0.318057,0.172883
3.03,0.0518486,0.593347,0.318051,0.17271
3.04,0.0518493,0.593357,0.318046,0.172534
3.05,0.05185,0.593367,0.31804,0.172355
3.06,0.0518507,0.593378,0.318035,0.172174
3.07,0.0518514,0.593388,0.318029,0.171991
3.08,0.0518521,0.593398,0.318024,0.171805
3.09,0.0518529,0.593409,0.318018,0.171616
3.1,0.0518537,0.593419,0.318013,0.171426
3.11,0.0518545,0.593429,0.318008,0.171233
3.12,0.0518553,0.593439,0.318002,0.171037
3.13,0.0518561,0.593449,0.317997,0.170839
3.14,0.0518569,0.593459,0.317991,0.170639
3.15,0.0518578,0.593469,0.317986,0.170436
3.16,0.0518587,0.59348,0.317981,0.170232
3.17,0.0518596,0.59349,0.317975,0.170024
3.18,0.0518605,0.5935,0.31797,0.169815
3.19,0.0518614,0.59351,0.317965,0.169603
3.2,0.0518623,0.59352,0.317959,0.169389
3.21,0.0518633,0.59353,0.317954,0.169173
3.22,0.0518643,0.59354,0.317949,0.168955
3.23,0.0518652,0.59355,0.317944,0.168734
3.24,0.0518663,0.593559,0.317939,0.168511
3.25,0.0518673,0.593569,0.317933,0.168286
3.26,0.0518683,0.593579,0.317928,0.168058
3.27,0.0518694,0.593589,0.317923,0.167829
3.28,0.0518704,0.593599,0.317918,0.167597
3.29,0.0518715,0.593609,0.317913,0.167364
3.3,0.0518726,0.593619,0.317908,0.167128
3.31,0.0518737,0.593628,0.317903,0.16689
3.32,0.0518748,0.593638,0.317897,0.166649
3.33,0.051876,0.593648,0.317892,0.166407
3.34,0.0518771,0.593657,0.317887,0.166163
3.35,0.0518783,0.593667,0.317882,0.165917
3.36,0.0518795,0.593677,0.317877,0.165668
3.37,0.0518807,0.593686,0.317872,0.165418
3.38,0.0518819,0.593696,0.317867,0.165165
3.39,0.0518831,0.593706,0.317862,0.164911
3.4,0.0518843,0.593715,0.317857,0.164654
3.41,0.0518856,0.593725,0.317852,0.164396
3.42,0.0518869,0.593734,0.317847,0.164136
3.43,0.0518881,0.593744,0.317843,0.163873
3.44,0.0518894,0.593753,0.317838,0.163609
3.45,0.0518908,0.593763,0.317833,0.163343
3.46,0.0518921,0.593772,0.317828,0.163075
3.47,0.0518934,0.593782,0.317823,0.162804
3.48,0.0518948,0.593791,0.317818,0.162533
3.49,0.0518961,0.593801,0.317813,0.162259
3.5,0.0518975,0.59381,0.317809,0.161983
3.51,0.0518989,0.593819,0.317804,0.161705
3.52,0.0519003,0.593829,0.317799,0.161426
3.53,0.0519017,0.593838,0.317794,0.161145
3.54,0.0519031,0.593847,0.31779,0.160862
3.55,0.0519046,0.593856,0.317785,0.160577
3.56,0.051906,0.593866,0.31778,0.160291
3.57,0.0519075,0.593875,0.317776,0.160002
3.58,0.051909,0.593884,0.317771,0.159712
3.59,0.0519105,0.593893,0.317766,0.15942
3.6,0.051912,0.593902,0.317762,0.159127
3.61,0.0519135,0.593911,0.317757,0.158831
3.62,0.0519151,0.593921,0.317752,0.158534
3.63,0.0519166,0.59393,0.317748,0.158236
3.64,0.0519182,0.593939,0.317743,0.157935
