time, prey, predator
189.51, 0.151032, 0.279608
190.01, 0.146605, 0.282366
190.51, 0.14205, 0.284941
191.01, 0.137373, 0.287314
191.51, 0.132579, 0.289462
192.01, 0.127673, 0.291366
192.51, 0.122662, 0.293002
193.01, 0.117554, 0.294346
193.51, 0.11236, 0.295375
194.01, 0.107093, 0.296064
194.51, 0.101771, 0.296388
195.01, 0.0964153, 0.296324
195.51, 0.091054, 0.295848
196.01, 0.0857195, 0.294941
196.51, 0.080451, 0.293584
197.01, 0.0752937, 0.291766
197.51, 0.070299, 0.28948
198.01, 0.0655227, 0.286729
198.51, 0.0610235, 0.283523
199.01, 0.0568611, 0.279884
199.51, 0.053093, 0.275847
200.01, 0.0497731, 0.271456
