time, prey, predator
152, 0.463857, 2.09169
152.5, 0.444067, 2.08203
153, 0.42759, 2.06865
153.5, 0.414806, 2.05235
154, 0.405922, 2.03397
154.5, 0.401033, 2.01436
155, 0.400159, 1.99437
155.5, 0.403268, 1.9748
156, 0.410289, 1.95641
156.5, 0.4211, 1.93993
157, 0.435504, 1.92602
157.5, 0.453196, 1.91528
158, 0.473715, 1.90825
158.5, 0.496399, 1.90537
159, 0.520343, 1.90696
159.5, 0.544383, 1.91315
160, 0.567126, 1.92388
160.5, 0.587028, 1.93882
161, 0.602542, 1.95737
161.5, 0.612317, 1.97862
162, 0.615408, 2.00139
162.5, 0.611449, 2.02434
163, 0.600736, 2.04604
163.5, 0.584191, 2.06513
164, 0.563208, 2.08047
164.5, 0.539435, 2.09121
165, 0.514546, 2.09687
165.5, 0.490056, 2.09733
166, 0.467212, 2.09282
166.5, 0.446952, 2.08381
167, 0.429928, 2.07096
167.5, 0.416549, 2.05506
168, 0.407048, 2.03694
168.5, 0.401532, 2.01747
169, 0.400032, 1.99749
169.5, 0.402522, 1.9778
170, 0.408939, 1.95918
170.5, 0.419168, 1.94235
171, 0.433028, 1.92799
171.5, 0.450232, 1.91672
172, 0.470348, 1.90908
172.5, 0.492747, 1.90554
173, 0.516564, 1.90641
173.5, 0.540676, 1.91188
174, 0.563721, 1.92191
174.5, 0.58417, 1.93623
175, 0.600466, 1.95427
175.5, 0.611213, 1.97516
176, 0.615388, 1.99779
176.5, 0.612528, 2.0208
177, 0.602823, 2.04279
177.5, 0.587107, 2.06237
178, 0.566712, 2.07836
178.5, 0.543263, 2.08986
179, 0.518443, 2.09633
179.5, 0.493801, 2.0976
180, 0.47063, 2.09384
180.5, 0.449917, 2.08548
181, 0.432355, 2.07319
181.5, 0.418387, 2.05771
182, 0.408271, 2.03988
182.5, 0.402129, 2.02057
183, 0.400002, 2.00061
183.5, 0.401872, 1.98082
184, 0.407682, 1.96199
184.5, 0.417326, 1.94483
185, 0.430634, 1.93005
185.5, 0.44734, 1.91826
186, 0.467037, 1.91002
186.5, 0.48913, 1.90581
187, 0.512793, 1.90597
187.5, 0.536943, 1.91072
188, 0.560253, 1.92005
188.5, 0.581211, 1.93373
189, 0.598255, 1.95124
189.5, 0.609947, 1.97176
190, 0.615196, 1.99419
190.5, 0.613438, 2.01724
191, 0.604763, 2.03948
191.5, 0.589908, 2.05952
192, 0.570142, 2.07614
192.5, 0.547058, 2.08839
193, 0.522345, 2.09566
193.5, 0.497582, 2.09774
194, 0.474108, 2.09474
194.5, 0.452959, 2.08707
195, 0.434869, 2.07534
195.5, 0.42032, 2.0603
196, 0.409591, 2.04279
196.5, 0.402824, 2.02365
197, 0.40007, 2.00374
197.5, 0.401319, 1.98387
198, 0.406519, 1.96484
198.5, 0.415573, 1.94737
199, 0.428323, 1.93218
199.5, 0.444521, 1.91988
200, 0.463785, 1.91105
