time, m, h, n, V
2.75,0.0520586,0.592926,0.318294,0.131244
2.76,0.0520611,0.592935,0.318289,0.130689
2.77,0.0520637,0.592944,0.318284,0.130128
2.78,0.0520664,0.592953,0.31828,0.129562
2.79,0.0520691,0.592962,0.318275,0.12899
2.8,0.0520718,0.592971,0.31827,0.128412
2.81,0.0520745,0.59298,0.318265,0.127829
2.82,0.0520773,0.592989,0.318261,0.127241
2.83,0.0520801,0.592998,0.318256,0.126647
2.84,0.052083,0.593007,0.318252,0.126047
2.85,0.0520859,0.593016,0.318247,0.125442
2.86,0.0520888,0.593024,0.318242,0.124832
2.87,0.0520918,0.593033,0.318238,0.124216
2.88,0.0520948,0.593042,0.318233,0.123594
2.89,0.0520978,0.593051,0.318229,0.122967
2.9,0.0521009,0.593059,0.318224,0.122335
2.91,0.052104,0.593068,0.31822,0.121697
2.92,0.0521071,0.593076,0.318216,0.121054
2.93,0.0521103,0.593085,0.318211,0.120405
2.94,0.0521135,0.593093,0.318207,0.119751
2.95,0.0521167,0.593102,0.318203,0.119091
2.96,0.05212,0.59311,0.318198,0.118426
2.97,0.0521233,0.593119,0.318194,0.117756
2.98,0.0521267,0.593127,0.31819,0.11708
2.99,0.0521301,0.593135,0.318186,0.116399
3,0.0521335,0.593144,0.318181,0.115713
3.01,0.0521369,0.593152,0.318177,0.115021
3.02,0.0521404,0.59316,0.318173,0.114324
3.03,0.0521439,0.593168,0.318169,0.113622
3.04,0.0521475,0.593176,0.318165,0.112914
3.05,0.0521511,0.593184,0.318161,0.112201
3.06,0.0521547,0.593192,0.318157,0.111483
3.07,0.0521584,0.5932,0.318153,0.11076
3.08,0.052162,0.593208,0.318149,0.110031
3.09,0.0521658,0.593216,0.318145,0.109297
3.1,0.0521695,0.593224,0.318141,0.108558
3.11,0.0521733,0.593232,0.318137,0.107813
3.12,0.0521772,0.59324,0.318133,0.107064
3.13,0.052181,0.593248,0.318129,0.106309
3.14,0.0521849,0.593255,0.318126,0.105549
3.15,0.0521888,0.593263,0.318122,0.104783
3.16,0.0521928,0.593271,0.318118,0.104013
3.17,0.0521968,0.593278,0.318114,0.103237
3.18,0.0522008,0.593286,0.318111,0.102457
3.19,0.0522049,0.593293,0.318107,0.101671
3.2,0.052209,0.593301,0.318103,0.10088
3.21,0.0522131,0.593308,0.3181,0.100084
3.22,0.0522173,0.593316,0.318096,0.0992824
3.23,0.0522215,0.593323,0.318093,0.098476
3.24,0.0522257,0.59333,0.318089,0.0976646
3.25,0.05223,0.593338,0.318086,0.0968482
3.26,0.0522342,0.593345,0.318082,0.0960266
3.27,0.0522386,0.593352,0.318079,0.0952
3.28,0.0522429,0.593359,0.318075,0.0943684
3.29,0.0522473,0.593366,0.318072,0.0935317
